mes,receita,custo_fixo,custo_variavel,despesa_marketing,despesa_rh,despesa_operacional,categoria_principal
2024-01,42500,12000,8300,2100,9500,1800,Serviços
2024-02,38900,12000,7600,1900,9500,1650,Serviços
2024-03,51200,12000,9800,2800,9500,2100,Produtos
2024-04,49700,12000,9500,2600,9500,1950,Produtos
2024-05,55300,12000,10200,3100,9800,2300,Serviços
2024-06,61800,12000,11500,3500,9800,2600,Serviços
2024-07,58400,12000,10900,3200,9800,2400,Produtos
2024-08,63200,12000,11800,3700,10200,2700,Serviços
2024-09,67500,12000,12300,4000,10200,2900,Serviços
2024-10,71200,12000,13100,4300,10200,3100,Produtos
2024-11,82400,12000,15200,5100,10500,3600,Produtos
2024-12,95600,12000,17800,6200,10500,4200,Serviços
